feature,explanation,recall,fuzz,url
resid_0-33,"The token ""Images"" in a Getty Images photo credit.",0.25,0.47000000000000003,https://demo-7m2z.onrender.com/gpt2/resid_0-33.html
resid_0-34,"The surname ""Silver"" or the word ""Silver"" in a proper noun.",0.16,0.3,https://demo-7m2z.onrender.com/gpt2/resid_0-34.html
resid_0-35,"The word ""lounge"" or ""Studio"" in a context describing a physical space or facility.",0.37,0.72,https://demo-7m2z.onrender.com/gpt2/resid_0-35.html
resid_0-39,"The prefix ""tid"" in various words, often related to tidbits of information or tidying up.",0.15,0.33999999999999997,https://demo-7m2z.onrender.com/gpt2/resid_0-39.html
resid_0-29,"The hyphen (-) symbol, often used in scientific or technical contexts to indicate a range, a chemical bond, or a prefix/suffix in a word.",0.39,0.72,https://demo-7m2z.onrender.com/gpt2/resid_0-29.html
resid_0-36,"The word ""pageant"" or related terms like ""contestants"", often in the context of a competition or event.",0.04,0.1,https://demo-7m2z.onrender.com/gpt2/resid_0-36.html
resid_0-41,"The prefix ""Mans"" in proper nouns, often referring to surnames or place names.",0.16,0.13,https://demo-7m2z.onrender.com/gpt2/resid_0-41.html
resid_0-42,"The verb ""include"" in a sentence, often indicating a list of items or options that are part of a larger set.",0.37,0.5900000000000001,https://demo-7m2z.onrender.com/gpt2/resid_0-42.html
resid_0-45,"The word ""apple"" in various contexts, often related to food, technology, or idioms.",0.47,0.7,https://demo-7m2z.onrender.com/gpt2/resid_0-45.html
resid_0-48,"The substring ""yll"" in proper nouns, typically in people's names or scientific terms.",0.21,0.22000000000000003,https://demo-7m2z.onrender.com/gpt2/resid_0-48.html
resid_0-46,"The words ""immature"" and ""begging"", often used to describe a state or action of vulnerability or dependence.",0.05,0.03,https://demo-7m2z.onrender.com/gpt2/resid_0-46.html
resid_2-0,"The word ""like"" used for comparison or similarity.",0.43,0.64,https://demo-7m2z.onrender.com/gpt2/resid_2-0.html
resid_2-2,"Verb suffixes (-ing, -ed, -s) indicating action or state.",0.75,0.5599999999999999,https://demo-7m2z.onrender.com/gpt2/resid_2-2.html
resid_2-3,"The prefix ""pr"" in words, often indicating a sense of pride or precedence.",0.45,0.75,https://demo-7m2z.onrender.com/gpt2/resid_2-3.html
resid_2-4,"The token ""Images"" in a context related to image credits, licensing, or references.",0.36,0.63,https://demo-7m2z.onrender.com/gpt2/resid_2-4.html
resid_2-1,"The token ""Other"" in categorical lists or forms, often indicating a miscellaneous or unspecified category.",0.36,0.44999999999999996,https://demo-7m2z.onrender.com/gpt2/resid_2-1.html
resid_2-7,"The token ""am"" (or ""AM"") in proper nouns, often as part of a person's name or an acronym.",0.28,0.38,https://demo-7m2z.onrender.com/gpt2/resid_2-7.html
resid_2-6,"Two- or three-digit numbers, often representing statistics or scores in sports-related contexts.",0.52,0.69,https://demo-7m2z.onrender.com/gpt2/resid_2-6.html
resid_2-11,"The token ""pool"" in various contexts, often related to a collection or accumulation of something.",0.42,0.61,https://demo-7m2z.onrender.com/gpt2/resid_2-11.html
resid_2-13,"The prefix ""Por"" in various proper nouns, often indicating a person's surname or a location.",0.23,0.47,https://demo-7m2z.onrender.com/gpt2/resid_2-13.html
resid_2-5,"Terms related to sports, competitions, or events, such as ""card"", ""round"", ""ref"", ""point"", ""side"", ""wing"", ""final"", ""dismissed"", ""takedown"", ""title"", and ""singles"", as well as quotation marks and punctuation marks.",0.43,0.51,https://demo-7m2z.onrender.com/gpt2/resid_2-5.html
resid_2-19,"The word ""injury"".",0.44,0.47,https://demo-7m2z.onrender.com/gpt2/resid_2-19.html
resid_2-18,"The token ""backer"" or ""linebacker"", likely related to American football positions.",0.13,0.16999999999999998,https://demo-7m2z.onrender.com/gpt2/resid_2-18.html
resid_2-15,A double angle quotation mark (>>) used to separate sections or introduce a list in instructional or informative text.,0.14,0.64,https://demo-7m2z.onrender.com/gpt2/resid_2-15.html
resid_2-20,"The word ""maid"" in various contexts, often referring to a female domestic worker or servant.",0.05,0.09,https://demo-7m2z.onrender.com/gpt2/resid_2-20.html
resid_2-21,"The word ""throat"" in various contexts, often related to physical actions, injuries, or medical conditions.",0.32,0.52,https://demo-7m2z.onrender.com/gpt2/resid_2-21.html
resid_2-23,"Prefixes or suffixes of English words, often indicating grammatical function or word formation.",0.24,0.28,https://demo-7m2z.onrender.com/gpt2/resid_2-23.html
resid_2-22,"The token ""websites"" in a context related to online security, governance, or usage.",0.29,0.4,https://demo-7m2z.onrender.com/gpt2/resid_2-22.html
resid_2-26,"The comparative conjunction ""than"" in phrases indicating a quantitative comparison.",0.48,0.51,https://demo-7m2z.onrender.com/gpt2/resid_2-26.html
resid_2-25,"Geographic locations, specifically ""City"" and ""Canal"", often referring to Panama City or the Panama Canal.",0.14,0.12000000000000001,https://demo-7m2z.onrender.com/gpt2/resid_2-25.html
resid_2-24,"The abbreviation for ""United States"" (U.S.), including individual letters ""U"" and ""S"" when part of this abbreviation.",0.39,0.6499999999999999,https://demo-7m2z.onrender.com/gpt2/resid_2-24.html
resid_2-28,"The suffix ""-enda"" in various words, often in proper nouns or loanwords.",0.32,0.3,https://demo-7m2z.onrender.com/gpt2/resid_2-28.html
resid_2-32,"The token ""Let"" at the beginning of a sentence, often introducing a suggestion or permission.",0.44,0.52,https://demo-7m2z.onrender.com/gpt2/resid_2-32.html
resid_2-29,"The adjective ""robust"" in various contexts, often describing study summaries, growth, analysis, or systems.",0.48,0.49,https://demo-7m2z.onrender.com/gpt2/resid_2-29.html
resid_2-35,"The suffix ""-ing"" in nouns related to computing, hosting, and networking.",0.24,0.19,https://demo-7m2z.onrender.com/gpt2/resid_2-35.html
resid_2-31,"The word ""measure"" or ""measures"" in a financial or economic context, often related to assessment, evaluation, or quantification.",0.29,0.38,https://demo-7m2z.onrender.com/gpt2/resid_2-31.html
resid_2-36,"The prefix ""ad"" in various words, often related to technology, education, or proper nouns.",0.31,0.64,https://demo-7m2z.onrender.com/gpt2/resid_2-36.html
resid_2-37,"Roman numerals (I, II, III, IV, etc.) in text, often used for chapter or verse references.",0.39,0.56,https://demo-7m2z.onrender.com/gpt2/resid_2-37.html
resid_2-38,"The word ""reunion"" in various contexts, often related to events or gatherings.",0.31,0.35,https://demo-7m2z.onrender.com/gpt2/resid_2-38.html
resid_2-40,"The suffixes ""Laure"", ""Pri"", or ""el"" in Nobel-related titles, such as Nobel Laureate, Nobel Prize, or Pulitzer Prize.",0.25,0.29000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_2-40.html
resid_2-39,"First-person singular pronouns (""I"") and other first-person and third-person pronouns (""he"", ""they"", ""we"") in sentences, often used to express personal thoughts or opinions.",0.57,0.8,https://demo-7m2z.onrender.com/gpt2/resid_2-39.html
resid_2-41,"The team name ""Broncos"", likely referring to the Denver Broncos, an American football team.",0.01,0.01,https://demo-7m2z.onrender.com/gpt2/resid_2-41.html
resid_2-44,"The adjective ""new"" describing a possession, relationship, or situation.",0.47,0.53,https://demo-7m2z.onrender.com/gpt2/resid_2-44.html
resid_2-49,"The verb ""spent"" in the context of time allocation or duration.",0.23,0.28,https://demo-7m2z.onrender.com/gpt2/resid_2-49.html
resid_2-45,"The word ""knee"" in various contexts, often related to body parts, health, or clothing.",0.29,0.45,https://demo-7m2z.onrender.com/gpt2/resid_2-45.html
resid_2-47,"The suffixes ""-ing"" and ""-hing"" in technical or formal writing, often related to diagrams or figures.",0.21000000000000002,0.22,https://demo-7m2z.onrender.com/gpt2/resid_2-47.html
resid_2-42,"The token ""line"" (or ""lines"") in various contexts, often referring to a physical or metaphorical boundary, division, or path.",0.42,0.6,https://demo-7m2z.onrender.com/gpt2/resid_2-42.html
resid_4-3,"The infinitive ""to"" in phrases indicating direction or intention.",0.61,0.43,https://demo-7m2z.onrender.com/gpt2/resid_4-3.html
resid_4-4,"The word ""couple"" indicating a small, indefinite number of items or a pair of people.",0.46,0.7,https://demo-7m2z.onrender.com/gpt2/resid_4-4.html
resid_4-1,"The noun ""emergence"", often in an academic or technical context, referring to the process of something coming into existence or prominence.",0.39,0.41,https://demo-7m2z.onrender.com/gpt2/resid_4-1.html
resid_4-0,"Suffixes ""-er"", ""-ager"", or ""-itter"" in nouns, often indicating a person's occupation, role, or relationship.",0.39,0.49,https://demo-7m2z.onrender.com/gpt2/resid_4-0.html
resid_4-5,"Punctuation marks (commas, ""of"", ""or"") in numerical or descriptive contexts, often indicating a list or a part of a whole.",0.66,0.63,https://demo-7m2z.onrender.com/gpt2/resid_4-5.html
resid_4-7,"Brand names or product-related nouns, such as ""Capcom"", ""charger"", ""Panasonic"", or ""joystick"", often in the context of technology or gaming.",0.39,0.49,https://demo-7m2z.onrender.com/gpt2/resid_4-7.html
resid_4-6,"The prefix ""reat"" or ""reat-"" in a word, often related to wreaths or treats.",0.21000000000000002,0.42000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_4-6.html
resid_4-8,"Honorific suffixes or endings of surnames, such as ""hon"", ""ek"", ""ls"", ""ham"", ""ze"", ""ault"", ""stein"", ""bes"", and ""au"", typically found in names of philosophers, economists, or historical figures.",0.32,0.55,https://demo-7m2z.onrender.com/gpt2/resid_4-8.html
resid_4-9,"Official names of organizations, countries, or concepts related to Islam, often with a noun or adjective suffix.",0.33,0.5,https://demo-7m2z.onrender.com/gpt2/resid_4-9.html
resid_4-2,"The neuron activates on suffixes or prefixes of words related to ""store"", such as ""-bought"", ""store-"", or ""y"" in ""storey"", indicating a connection to commerce or retail.",0.34,0.32,https://demo-7m2z.onrender.com/gpt2/resid_4-2.html
resid_4-12,"The word ""only"" in a sentence, often indicating a restriction or limitation.",0.4,0.47,https://demo-7m2z.onrender.com/gpt2/resid_4-12.html
resid_4-10,"Verbs that indicate a change, addition, or effect, often in a formal or objective tone.",0.54,0.6699999999999999,https://demo-7m2z.onrender.com/gpt2/resid_4-10.html
resid_4-14,Period (.) and numbers in the context of US court case citations.,0.24,0.5800000000000001,https://demo-7m2z.onrender.com/gpt2/resid_4-14.html
resid_4-11,"The verb ""are"" in a sentence, often used to connect two nouns or phrases, indicating a state of being or equality.",0.36,0.38,https://demo-7m2z.onrender.com/gpt2/resid_4-11.html
resid_4-15,"The word ""mastery"" in various contexts, often related to expertise, skill, or achievement.",0.15,0.27,https://demo-7m2z.onrender.com/gpt2/resid_4-15.html
resid_4-13,"The token ""ROM"" in the context of technology and computing, often referring to read-only memory or a custom firmware.",0.17,0.30000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_4-13.html
resid_4-16,"The dash (-) punctuation mark, often used to indicate a break or separation in text.",0.47,0.52,https://demo-7m2z.onrender.com/gpt2/resid_4-16.html
resid_4-19,"The word ""selection"" in technical or formal contexts, often related to electronics, computing, or scientific fields.",0.26,0.3,https://demo-7m2z.onrender.com/gpt2/resid_4-19.html
resid_4-17,"The middle name ""Luther"" in a person's full name, particularly in reference to Martin Luther King Jr.",0.05,0.11,https://demo-7m2z.onrender.com/gpt2/resid_4-17.html
resid_4-20,"The words ""audience"" and ""crowd"", referring to a group of people gathered for a specific purpose or event.",0.15,0.23,https://demo-7m2z.onrender.com/gpt2/resid_4-20.html
resid_4-23,"The auxiliary verb ""should"" indicating obligation, recommendation, or advisability.",0.38,0.6699999999999999,https://demo-7m2z.onrender.com/gpt2/resid_4-23.html
resid_4-21,"The proper noun ""Boone"" or ""Charlie"", likely referring to a person's name.",0.18,0.32999999999999996,https://demo-7m2z.onrender.com/gpt2/resid_4-21.html
resid_4-22,"The adverbs ""formerly"", ""lately"", and ""afterwards"" indicating a time or state in the past.",0.2,0.53,https://demo-7m2z.onrender.com/gpt2/resid_4-22.html
resid_4-25,"Units of time (month, year, decade, century, day, week) or related phrases (today, next).",0.56,0.55,https://demo-7m2z.onrender.com/gpt2/resid_4-25.html
resid_4-24,"The names of specific organizations, particularly those related to progress or protection, such as ""Center for American Progress"" and ""Environmental Protection Agency"".",0.2,0.32,https://demo-7m2z.onrender.com/gpt2/resid_4-24.html
resid_4-26,"The token ""User"" in a context related to user profiles, accounts, or authentication.",0.38,0.52,https://demo-7m2z.onrender.com/gpt2/resid_4-26.html
resid_4-27,"Function words and short phrases that introduce or connect clauses, often indicating a transition or relationship between ideas.",0.64,0.52,https://demo-7m2z.onrender.com/gpt2/resid_4-27.html
resid_4-29,"Currency symbols, such as ""$"" or ""£"", indicating prices or monetary values.",0.53,0.88,https://demo-7m2z.onrender.com/gpt2/resid_4-29.html
resid_4-30,"The suffix ""-y"" in words, often indicating an adjective or a proper noun.",0.69,0.57,https://demo-7m2z.onrender.com/gpt2/resid_4-30.html
resid_4-28,"The acronym ""BIT"" in EBITDA (Earnings Before Interest, Taxes, Depreciation, and Amortization), a financial metric.",0.01,0.0,https://demo-7m2z.onrender.com/gpt2/resid_4-28.html
resid_4-31,"The suffix ""let"" in a noun, often referring to a pallet.",0.3,0.41000000000000003,https://demo-7m2z.onrender.com/gpt2/resid_4-31.html
resid_4-38,"The adversative conjunction ""however"".",0.35,0.63,https://demo-7m2z.onrender.com/gpt2/resid_4-38.html
resid_4-36,"The preposition ""of"" in a phrase, often indicating possession or belonging.",0.54,0.46,https://demo-7m2z.onrender.com/gpt2/resid_4-36.html
resid_4-32,"The suffix ""mony"" in words related to formal events or rituals, such as ceremonies.",0.22,0.45999999999999996,https://demo-7m2z.onrender.com/gpt2/resid_4-32.html
resid_4-33,"The suffix ""-ings"" in proper nouns, often indicating surnames or place names.",0.22,0.37,https://demo-7m2z.onrender.com/gpt2/resid_4-33.html
resid_4-37,"The noun ""refusal"" in various contexts, often indicating a deliberate choice or action of not doing something.",0.15,0.25,https://demo-7m2z.onrender.com/gpt2/resid_4-37.html
resid_4-34,"The idiomatic phrase ""part and parcel"" or the word ""parcel"" in general, often related to something being an integral component or a package.",0.3,0.53,https://demo-7m2z.onrender.com/gpt2/resid_4-34.html
resid_4-39,"The adverb ""just"" used to convey a sense of simplicity, exactness, or minimalism.",0.48,0.65,https://demo-7m2z.onrender.com/gpt2/resid_4-39.html
resid_4-40,"The prefix ""Jab"" in various proper nouns, such as names, places, and organizations.",0.13,0.29000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_4-40.html
resid_4-42,"The suffixes ""-allergy"" and ""-obia"" in medical or health-related contexts.",0.18,0.39,https://demo-7m2z.onrender.com/gpt2/resid_4-42.html
resid_4-47,"The comparative conjunction ""than"".",0.52,0.61,https://demo-7m2z.onrender.com/gpt2/resid_4-47.html
resid_4-44,"The preposition ""in"" indicating a location, context, or membership.",0.6,0.55,https://demo-7m2z.onrender.com/gpt2/resid_4-44.html
resid_4-48,"The phrase ""per"" in financial or statistical contexts, often indicating a rate or ratio.",0.45,0.62,https://demo-7m2z.onrender.com/gpt2/resid_4-48.html
resid_4-43,"The colon (:) punctuation mark, often used to indicate a relationship or connection between entities, lists, or explanations.",0.42,0.6799999999999999,https://demo-7m2z.onrender.com/gpt2/resid_4-43.html
resid_4-49,"The verb ""ming"" (likely a typo or variation of ""mingling"") indicating social interaction or mixing of people/things.",0.03,0.01,https://demo-7m2z.onrender.com/gpt2/resid_4-49.html
resid_4-46,"Punctuation marks and short function words (e.g. ""is"", ""by"", ""at"") that connect or separate clauses, phrases, or items in a list.",0.94,0.75,https://demo-7m2z.onrender.com/gpt2/resid_4-46.html
resid_6-0,"Decimal digits in numerical values, often representing measurements or quantities.",0.49,0.79,https://demo-7m2z.onrender.com/gpt2/resid_6-0.html
resid_6-6,"The prefix ""Con-"" in various words, often indicating a connection or conjunction.",0.39999999999999997,0.44,https://demo-7m2z.onrender.com/gpt2/resid_6-6.html
resid_6-8,"The adjective ""serious"" in a sentence, often used to emphasize genuine intent or commitment.",0.34,0.42000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_6-8.html
resid_6-5,"Punctuation marks and special characters, such as colons, dashes, and percentage signs, often used in HTML or formatting codes.",0.55,0.8200000000000001,https://demo-7m2z.onrender.com/gpt2/resid_6-5.html
resid_6-9,"The prefix ""tint"" in words related to coloring or shading.",0.24,0.38,https://demo-7m2z.onrender.com/gpt2/resid_6-9.html
resid_6-4,"Phrases expressing gratitude or politeness, typically involving words like ""enough"", ""to"", ""gracious"", or ""sufficient"", indicating a sense of appreciation or courtesy.",0.28,0.36,https://demo-7m2z.onrender.com/gpt2/resid_6-4.html
resid_6-2,"Auxiliary verbs and linking verbs (e.g. ""have"", ""is"", ""are"", ""be"") in formal or instructional text, often used to form the present perfect or simple present tenses.",0.71,0.72,https://demo-7m2z.onrender.com/gpt2/resid_6-2.html
resid_6-3,"The suffix ""-istry"" in various nouns, often related to professions or fields of study.",0.42,0.64,https://demo-7m2z.onrender.com/gpt2/resid_6-3.html
resid_6-7,"The suffix ""-rans"" or ""-RAN"" in a word, often indicating an action of forcefully taking or searching something.",0.19,0.37,https://demo-7m2z.onrender.com/gpt2/resid_6-7.html
resid_6-10,"Left parenthesis in formatted text, often indicating a rating, score, or timestamp.",0.5,0.76,https://demo-7m2z.onrender.com/gpt2/resid_6-10.html
resid_6-16,Days of the week.,0.31,0.6799999999999999,https://demo-7m2z.onrender.com/gpt2/resid_6-16.html
resid_6-13,"Military-related terms, including ranks, branches, and statuses (e.g., reserve, enlisted, active duty).",0.36,0.45999999999999996,https://demo-7m2z.onrender.com/gpt2/resid_6-13.html
resid_6-11,"The phrase ""up"" in the context of setting or lining up for an action or position, often in sports.",0.25,0.21000000000000002,https://demo-7m2z.onrender.com/gpt2/resid_6-11.html
resid_6-12,"Punctuation marks, specifically delimiters and separators (/, ||, ,, #, :, _, �) in structured data, such as lists, tables, or technical notation.",0.5800000000000001,0.77,https://demo-7m2z.onrender.com/gpt2/resid_6-12.html
resid_6-14,"Prepositions and conjunctions indicating exceptions or contrasts, often used in phrases like ""except for"", ""but"", ""save for"", or ""with only"".",0.46,0.44,https://demo-7m2z.onrender.com/gpt2/resid_6-14.html
resid_6-15,"The digit ""2"" in various contexts, often related to R2-D2, a Star Wars character, or as part of a model/series number.",0.29,0.23,https://demo-7m2z.onrender.com/gpt2/resid_6-15.html
resid_6-18,"The first name ""Brian"" in a sentence, often referring to a specific person.",0.44,0.72,https://demo-7m2z.onrender.com/gpt2/resid_6-18.html
resid_6-17,"Non-ASCII characters, specifically Cyrillic characters or unknown Unicode characters, which may indicate non-English text or corrupted data.",0.53,0.9199999999999999,https://demo-7m2z.onrender.com/gpt2/resid_6-17.html
resid_6-20,"The neuron activates on nouns representing abstract concepts, particularly those related to effects, principles, and hypotheses.",0.41000000000000003,0.42000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_6-20.html
resid_6-19,"The word ""what"" in phrases expressing curiosity or inquiry, often in the context of experimentation or exploration.",0.26,0.29000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_6-19.html
resid_6-21,"The word ""mythology"".",0.15,0.23,https://demo-7m2z.onrender.com/gpt2/resid_6-21.html
resid_6-22,"The adverb ""exactly"" indicating precise knowledge or understanding.",0.35,0.55,https://demo-7m2z.onrender.com/gpt2/resid_6-22.html
resid_6-24,"The prefix ""End"" in a word, often indicating the end or conclusion of something.",0.5,0.6799999999999999,https://demo-7m2z.onrender.com/gpt2/resid_6-24.html
resid_6-29,"The suffix ""alty"" in real estate-related words, such as ""Realty"".",0.11,0.32,https://demo-7m2z.onrender.com/gpt2/resid_6-29.html
resid_6-27,"The prefix ""Engine"" in various words related to engineering, such as ""Engineering"" or ""Engineer"".",0.37,0.53,https://demo-7m2z.onrender.com/gpt2/resid_6-27.html
resid_6-26,"The verb ""influenced"" or its synonyms (""shaped"", ""informed"") in a sentence, indicating a causal relationship between two entities or concepts.",0.21,0.29,https://demo-7m2z.onrender.com/gpt2/resid_6-26.html
resid_6-28,"The prefix ""pall-"" or ""pal-"" in a word, often related to medical or aesthetic contexts.",0.41,0.43000000000000005,https://demo-7m2z.onrender.com/gpt2/resid_6-28.html
resid_6-31,"The word ""To"" indicating the start of an infinitive phrase, often preceding a verb or action.",0.6,0.8,https://demo-7m2z.onrender.com/gpt2/resid_6-31.html
resid_6-32,"Periods (.) at the end of sentences, often indicating the end of a quotation or a statement.",0.8300000000000001,0.53,https://demo-7m2z.onrender.com/gpt2/resid_6-32.html
resid_6-30,"The token ""area"" or ""areas"" (or ""region"") referring to a geographic location, often in the context of conflict, crisis, or humanitarian issues.",0.43,0.71,https://demo-7m2z.onrender.com/gpt2/resid_6-30.html
resid_6-37,"The suffix ""ral"" in words related to Australia.",0.05,0.27,https://demo-7m2z.onrender.com/gpt2/resid_6-37.html
resid_6-34,"The suffix ""-ell"" or ""-ellie"" in proper nouns, typically names.",0.33,0.54,https://demo-7m2z.onrender.com/gpt2/resid_6-34.html
resid_6-36,"Exclamation marks (!) at the end of a sentence or phrase, often indicating excitement or emphasis.",0.48,0.7,https://demo-7m2z.onrender.com/gpt2/resid_6-36.html
resid_6-40,"The verb ""lived"" in the context of describing a person's past or current residence.",0.42,0.55,https://demo-7m2z.onrender.com/gpt2/resid_6-40.html
resid_6-39,"Ordinal suffixes (""nd"" or ""rd"") in numbers (e.g., 2nd, 3rd).",0.53,0.71,https://demo-7m2z.onrender.com/gpt2/resid_6-39.html
resid_6-42,"Single-digit or double-digit numbers, often appearing in citations or references, typically enclosed in square brackets.",0.5,0.5900000000000001,https://demo-7m2z.onrender.com/gpt2/resid_6-42.html
resid_6-41,"The phrase ""with the exception"" or the word ""exception"" in a sentence, indicating a specific exclusion or exemption.",0.36,0.5800000000000001,https://demo-7m2z.onrender.com/gpt2/resid_6-41.html
resid_6-43,"Adverbs and adverbial phrases indicating uncertainty, addition, or confirmation, often used in informal writing or spoken language.",0.52,0.7,https://demo-7m2z.onrender.com/gpt2/resid_6-43.html
resid_6-45,"The term ""distribution"" or ""distributions"" in the context of Linux operating systems.",0.14,0.30000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_6-45.html
resid_6-44,"The neuron activates on the prefixes ""siph"" and ""Cah"", which are parts of specific words, often proper nouns or technical terms.",0.18,0.25,https://demo-7m2z.onrender.com/gpt2/resid_6-44.html
resid_6-49,"The name ""Leon"" in various contexts, often referring to a person.",0.07,0.19,https://demo-7m2z.onrender.com/gpt2/resid_6-49.html
resid_6-46,"The geographical region ""Kashmir"", often referring to the disputed territory between India and Pakistan.",0.02,0.08,https://demo-7m2z.onrender.com/gpt2/resid_6-46.html
resid_6-48,"The conjunction ""and"" in geographic or anatomical contexts, often connecting two parts of a whole.",0.25,0.32,https://demo-7m2z.onrender.com/gpt2/resid_6-48.html
resid_8-2,"The definite article ""the"".",0.69,0.47,https://demo-7m2z.onrender.com/gpt2/resid_8-2.html
resid_8-5,"The adjective ""busy"" describing a location or area with high activity.",0.22,0.15000000000000002,https://demo-7m2z.onrender.com/gpt2/resid_8-5.html
resid_8-7,"The adjective ""growing"" in a phrase indicating an increasing quantity or trend.",0.32,0.44000000000000006,https://demo-7m2z.onrender.com/gpt2/resid_8-7.html
resid_8-10,"The preposition ""as"" indicating a role, function, or purpose.",0.42,0.62,https://demo-7m2z.onrender.com/gpt2/resid_8-10.html
resid_8-6,"The adverb ""often"" in first-person sentences, indicating a frequent or habitual action.",0.18,0.29000000000000004,https://demo-7m2z.onrender.com/gpt2/resid_8-6.html
resid_8-3,"Proper nouns, names of specific entities, or common nouns that refer to distinct objects, concepts, or categories.",0.63,0.5,https://demo-7m2z.onrender.com/gpt2/resid_8-3.html
resid_8-11,"The verb ""join"" or ""joined"" in the context of entering or becoming a part of a group, chat, or organization.",0.41,0.51,https://demo-7m2z.onrender.com/gpt2/resid_8-11.html
resid_8-4,"The verb ""wrote"" or ""writes"" indicating authorship or attribution of a text or quote.",0.34,0.61,https://demo-7m2z.onrender.com/gpt2/resid_8-4.html
resid_8-9,"The word ""cannibal"" or its variations, often in the context of discussing or referencing cannibalism.",0.08,0.08,https://demo-7m2z.onrender.com/gpt2/resid_8-9.html
resid_8-12,"Suffixes ""-piration"", ""-oration"", and ""-synthesis"" in scientific or technical contexts, often related to biological or chemical processes.",0.15,0.39,https://demo-7m2z.onrender.com/gpt2/resid_8-12.html
resid_8-13,"The token ""ro"" in words, often indicating a prefix or part of a verb.",0.43000000000000005,0.45999999999999996,https://demo-7m2z.onrender.com/gpt2/resid_8-13.html
resid_8-14,"Single-digit numbers, often part of a section or statute reference in legal or legislative text.",0.38,0.64,https://demo-7m2z.onrender.com/gpt2/resid_8-14.html
